id,name,stationtype,neighborid,stationhex,linetype,regionalismcode,countryname,regionname,type,status,realtype,direction,isimportant,tolllink_id,cityid,routeid,routename,company_id,longitude,latitude,exit_etc_lane_num,exit_mtc_lane_num,exit_mix_lane_num,exit_lane_num,entry_etc_lane_num,entry_mtc_lane_num,entry_mix_lane_num,entry_lane_num,k_value,nearcityid,opentime,nearprovinceid,old_id,old_tolllink_id
G0030610010120,临潼东,3,0,61010227,3,610115,临潼区,西安市,2,2,1,,1,G0030610010,610100,G0030,连霍高速(陕西段),2,109.239636,34.411685,2,0,2,4,1,0,2,3,0.09,0,1727625600000,0,20107,1601
G0030610020010,临潼,3,0,61010103,2|1,610115,临潼区,西安市,2,2,1,,1,G0030610020,610100,G0030,连霍高速(陕西段),2,109.162448,34.361313,6,3,2,11,3,1,2,6,0.09,0,659980800000,0,10003,1601
G0030610020020,豁口,3,0,61010102,2|1,610111,灞桥区,西安市,2,2,1,,1,G0030610020,610100,G0030,连霍高速(陕西段),2,109.113214,34.322452,2,1,2,5,1,1,2,4,0.09,0,1503244800000,0,10002,1601
G0030610020030,灞桥,3,0,61010101,2|1,610111,灞桥区,西安市,2,2,1,,0,G0030610020,610100,G0030,连霍高速(陕西段),2,109.075942,34.300553,5,8,5,18,3,2,3,8,0.09,610100,659980800000,0,10001,1601
G0030610030010,阿房宫,3,0,61010381,2|1,610116,长安区,西安市,2,2,1,,1,G0030610030,610100,G0030,连霍高速(陕西段),3,108.80779,34.252705,5,11,2,18,4,2,2,8,0.09,610100,817747200000,0,30401,3201
G0030610030020,咸阳南,3,0,61010382,2|1,610402,秦都区,咸阳市,2,2,1,,1,G0030610030,610400,G0030,连霍高速(陕西段),3,108.676797,34.25163,1,1,3,5,1,0,4,5,0.09,0,1354291200000,0,30402,3201
G0030610030030,三桥,3,0,61010321,2|1,610112,未央区,西安市,2,2,1,,0,G0030610030,610100,G0030,连霍高速(陕西段),3,108.804564,34.299314,6,7,3,16,3,3,2,8,0.09,610100,817747200000,0,30101,3201
G0030610030040,咸阳,3,0,61010322,2|1,610402,秦都区,咸阳市,2,2,1,,1,G0030610030,610400,G0030,连霍高速(陕西段),3,108.711432,34.311233,7,5,2,14,6,1,2,9,0.09,610400,817747200000,0,30102,3201
G0030610030050,咸阳西,3,0,61010323,2|1,610402,秦都区,咸阳市,2,2,1,,1,G0030610030,610400,G0030,连霍高速(陕西段),3,108.655681,34.29744,3,6,2,11,3,2,2,7,0.09,610400,817747200000,0,30103,3201
G0030610030060,兴平,3,0,61010324,2|1,610481,兴平市,咸阳市,2,2,1,,1,G0030610030,610400,G0030,连霍高速(陕西段),3,108.509696,34.27682,3,5,2,10,2,1,2,5,0.09,0,817747200000,0,30104,3201
G0030610030070,武功,3,0,61010341,2|1,610431,武功县,咸阳市,2,2,1,,1,G0030610030,610400,G0030,连霍高速(陕西段),3,108.220281,34.249157,2,4,2,8,2,1,2,5,0.09,0,817747200000,0,30201,3201
G0030610030080,杨凌,3,0,61010342,2|1,610403,杨陵区,咸阳市,2,2,1,,1,G0030610030,610400,G0030,连霍高速(陕西段),3,108.109654,34.256347,3,7,2,12,2,2,2,6,0.09,611100,817747200000,0,30202,3201
G0030610030090,绛帐,3,0,61010343,2|1,610324,扶风县,宝鸡市,2,2,1,,1,G0030610030,610300,G0030,连霍高速(陕西段),3,107.949529,34.264175,1,1,2,4,1,1,1,3,0.09,0,817747200000,0,30203,3201
G0030610030100,法门寺,3,0,61010344,2|1,610324,扶风县,宝鸡市,2,2,1,,1,G0030610030,610300,G0030,连霍高速(陕西段),3,107.920231,34.319086,3,5,2,10,2,2,2,6,0.09,0,817747200000,0,30204,3201
G0030610030110,太白山,3,0,61010345,2|1,610324,扶风县,宝鸡市,2,2,1,,1,G0030610030,610300,G0030,连霍高速(陕西段),3,107.92162,34.260599,2,3,2,7,2,1,1,4,0.09,0,817747200000,0,30205,3201
G0030610030120,常兴,3,0,61010346,2|1,610326,眉县,宝鸡市,2,2,1,,1,G0030610030,610300,G0030,连霍高速(陕西段),3,107.841273,34.265343,1,3,1,5,1,1,1,3,0.09,0,817747200000,0,30206,3201
G0030610030130,杨凌西,3,0,61010347,2|1,610403,杨陵区,咸阳市,2,2,1,,1,G0030610030,610400,G0030,连霍高速(陕西段),3,108.028032,34.268125,1,3,2,6,1,1,2,4,0.09,611100,817747200000,0,30207,3201
G0030610030140,眉县,3,0,61010361,2|1,610326,眉县,宝鸡市,2,2,1,,1,G0030610030,610300,G0030,连霍高速(陕西段),3,107.714444,34.304444,2,5,0,7,2,3,0,5,0.09,0,1321113600000,0,30301,3201
G0030610030150,蔡家坡,3,0,61010362,2|1,610323,岐山县,宝鸡市,2,2,1,,1,G0030610030,610300,G0030,连霍高速(陕西段),3,107.616944,34.3075,2,8,0,10,2,3,0,5,0.09,0,1317225600000,0,30302,3201
G0030610030160,磻溪,3,0,610103A1,2,610304,陈仓区,宝鸡市,2,2,1,,1,G0030610030,610300,G0030,连霍高速(陕西段),3,107.401667,34.331389,1,7,0,8,1,3,0,4,0.09,0,1449244800000,0,30501,3201
G0030610030170,虢镇,3,0,61010363,2,610304,陈仓区,宝鸡市,2,2,1,,1,G0030610030,610300,G0030,连霍高速(陕西段),3,107.401667,34.348611,2,4,0,6,1,3,0,4,0.09,0,1384272000000,0,30303,3201
G0030610030180,宝鸡,3,0,61010364,2,610303,金台区,宝鸡市,2,2,1,,1,G0030610030,610300,G0030,连霍高速(陕西段),3,107.203611,34.358611,3,7,0,10,2,4,0,6,0.09,0,1449244800000,0,30304,3201
G0030610030190,兴平西,3,0,61010325,3,610481,兴平市,咸阳市,2,2,1,,1,G0030610030,610400,G0030,连霍高速(陕西段),3,108.4035,34.25774,3,0,3,6,2,0,2,4,0.09,0,1666195200000,0,30105,3201
G0030610040010,姜城,3,0,61010521,2|1,610302,渭滨区,宝鸡市,2,2,1,,1,G0030610040,610300,G0030,连霍高速(陕西段),46,107.071312,34.370117,3,0,3,6,2,0,2,4,0.09,0,817747200000,0,50101,6301
G0030610050010,宝鸡西,3,0,61010421,2|1,610302,渭滨区,宝鸡市,2,2,1,,1,G0030610050,610300,G0030,连霍高速(陕西段),46,107.062315,34.367018,1,3,2,6,1,2,1,4,0.09,610300,1354291200000,0,40101,6301
G0030610050020,坪头,3,0,61010422,2|1,610304,陈仓区,宝鸡市,2,2,1,,1,G0030610050,610300,G0030,连霍高速(陕西段),46,106.885344,34.391842,1,2,1,4,1,2,1,4,0.09,0,817747200000,0,40102,6301
G0030610050030,陈仓,1,G0030620010010,61010423,2|1,610304,陈仓区,宝鸡市,1,2,1,,0,G0030610050,610300,G0030,连霍高速(陕西段),46,106.873363,34.389975,2,10,0,12,2,9,0,11,0.09,0,817747200000,62,40103,6301
G0030610060010,眉县,3,0,61012021,2|1,610326,眉县,宝鸡市,2,2,1,,1,G0030610060,610300,G0030,连霍高速(陕西段),46,107.719611,34.302756,2,3,2,7,2,1,2,5,0.09,0,817747200000,0,320101,9901
G0030610060020,蔡家坡,3,0,61012022,2|1,610323,岐山县,宝鸡市,2,2,1,,1,G0030610060,610300,G0030,连霍高速(陕西段),46,107.621972,34.306168,2,6,2,10,2,1,2,5,0.09,0,817747200000,0,320102,9901
G0030610060030,虢镇,3,0,61012023,2|1,610304,陈仓区,宝鸡市,2,2,1,,1,G0030610060,610300,G0030,连霍高速(陕西段),46,107.394892,34.348929,2,1,2,5,1,1,1,3,0.09,0,817747200000,0,320103,9901
G0030610060040,宝鸡,3,0,61012024,2|1,610303,金台区,宝鸡市,2,2,1,,1,G0030610060,610300,G0030,连霍高速(陕西段),46,107.269748,34.356939,7,0,3,10,4,0,2,6,0.09,610300,817747200000,0,320104,9901
G0030610060050,磻溪,3,0,61012025,2|1,610304,陈仓区,宝鸡市,2,2,1,,1,G0030610060,610300,G0030,连霍高速(陕西段),46,107.406756,34.33023,1,5,2,8,1,1,2,4,0.09,0,1448899200000,0,320105,9901
G0030610060060,宝钛,3,0,61012026,2|1,610302,渭滨区,宝鸡市,2,2,1,,1,G0030610060,610300,G0030,连霍高速(陕西段),46,107.252994,34.329091,1,5,2,8,1,1,2,4,0.09,0,1547395200000,0,320106,9901
G0030610070010,宝鸡高新,3,0,61011F21,2|1,610302,渭滨区,宝鸡市,2,2,1,,1,G0030610070,610300,G0030,连霍高速(陕西段),46,107.215115,34.323233,1,3,2,6,1,1,2,4,0.09,0,1547395200000,0,310101,9901
G0030610070020,神农,3,0,61011F22,2|1,610302,渭滨区,宝鸡市,2,2,1,,1,G0030610070,610300,G0030,连霍高速(陕西段),46,107.111877,34.343156,1,2,2,5,1,1,1,3,0.09,0,1547395200000,0,310102,9901
G0040610010010,界牌,2,G0040410040050,61014845,2|1,611023,商南县,商洛市,1,2,1,,0,G0040610010,611000,G0040,沪陕高速(陕西段),22,110.565424,33.282956,2,14,0,16,2,10,0,12,0.09,0,1222790400000,41,720205,2201
G0040610010020,商南西,3,0,61014844,2|1,611023,商南县,商洛市,2,2,1,,1,G0040610010,611000,G0040,沪陕高速(陕西段),22,110.866514,33.473998,3,5,2,10,1,2,2,5,0.09,0,1222790400000,0,720204,2201
G0040610010030,过风楼,3,0,61014843,2|1,611023,商南县,商洛市,2,2,1,,1,G0040610010,611000,G0040,沪陕高速(陕西段),22,110.784349,33.433978,1,2,1,4,1,2,1,4,0.09,0,1222790400000,0,720203,2201
