"version","enroadnodeid","enroadnodetype","enroadnodename","enstationid","enhex","exroadnodeid","exroadnodetype","exroadnodename","exstationid","exhex","miles"
"6120231210001","G000561001001820","1","韦庄-韦庄站",,,"G0005610010060","3","陕西韦庄收费站",,"61012843","0"
"6120231210001","G000561001001910","1","孙镇站-孙镇",,,"G000561001000720","1","孙镇匝道-永丰枢纽",,,"0"
"6120231210001","G000561001001910","1","孙镇站-孙镇",,,"G000561001000810","1","孙镇匝道-东杨互通",,,"0"
"6120231210001","G000561001001920","1","孙镇-孙镇站",,,"G0005610010070","3","陕西孙镇收费站",,"61012842","0"
"6120231210001","G0005610010020","3","陕西龙门收费站",,"61012864","G000561001001410","1","龙门站-龙门",,,"0"
"6120231210001","G000561001002010","1","蒲城站-蒲城",,,"G000561001000920","1","蒲城匝道-东杨互通",,,"0"
"6120231210001","G000561001002010","1","蒲城站-蒲城",,,"G000561001001010","1","蒲城匝道-荆姚匝道",,,"0"
"6120231210001","G000561001002020","1","蒲城-蒲城站",,,"G0005610010080","3","陕西蒲城收费站",,"61012841","0"
"6120231210001","G000561001002110","1","荆姚站-荆姚",,,"G000561001001020","1","荆姚匝道-蒲城匝道",,,"0"
"6120231210001","G000561001002110","1","荆姚站-荆姚",,,"G000561001001110","1","荆姚匝道-富平东匝道",,,"0"
"6120231210001","G000561001002120","1","荆姚-荆姚站",,,"G0005610010090","3","陕西荆姚收费站",,"61012822","0"
"6120231210001","G000561001002210","1","富平站-富平",,,"G000561001002520","1","富平匝道-富平东匝道",,,"0"
"6120231210001","G000561001002210","1","富平站-富平",,,"G000561001001210","1","富平匝道-阎禹交界点",,,"0"
"6120231210001","G000561001002220","1","富平-富平站",,,"G0005610010100","3","陕西富平收费站",,"61012821","0"
"6120231210001","G000561001002310","1","合阳东枢纽-合阳匝道",,,"G000561001001720","1","合阳-合阳站",,,"14280"
"6120231210001","G000561001002310","1","合阳东枢纽-合阳匝道",,,"G000561001000610","1","合阳匝道-韦庄匝道",,,"14280"
"6120231210001","G000561001002320","1","合阳匝道-合阳东枢纽",,,"G000561001000520","1","合阳东枢纽-芝川匝道",,,"14280"
"6120231210001","G000561001002320","1","合阳匝道-合阳东枢纽",,,"G351161002000210","1","合阳东枢纽-同家庄匝道",,,"14280"
"6120231210001","G0005610010030","3","陕西韩城收费站",,"61012863","G000561001001510","1","韩城站-韩城",,,"0"
"6120231210001","G0005610010040","3","陕西芝川收费站",,"61012862","G000561001001610","1","芝川站-芝川",,,"0"
"6120231210001","G0005610010050","3","陕西合阳收费站",,"61012861","G000561001001710","1","合阳站-合阳",,,"0"
"6120231210001","G0005610010060","3","陕西韦庄收费站",,"61012843","G000561001001810","1","韦庄站-韦庄",,,"0"
"6120231210001","G0005610010070","3","陕西孙镇收费站",,"61012842","G000561001001910","1","孙镇站-孙镇",,,"0"
"6120231210001","G0005610010080","3","陕西蒲城收费站",,"61012841","G000561001002010","1","蒲城站-蒲城",,,"0"
"6120231210001","G0005610010090","3","陕西荆姚收费站",,"61012822","G000561001002110","1","荆姚站-荆姚",,,"0"
